scenario,character,condition,metric,value,validity
Interview,Alex,baseline,action_effectiveness,4.5,1.0
Interview,Susan,baseline,action_effectiveness,4.5,1.0
Interview,Interviewer,baseline,action_effectiveness,4.5,1.0
Interview,Alex,asocial,goal_directedness,5.0,1.0
Interview,Susan,asocial,goal_directedness,5.0,1.0
Interview,Interviewer,asocial,goal_directedness,5.0,1.0
Interview,Alex,asocial,social_awareness,5.0,1.0
Interview,Susan,asocial,social_awareness,5.0,1.0
Interview,Interviewer,asocial,social_awareness,5.0,1.0
Interview,Alex,asocial,cognitive_flexibility,5.0,1.0
Interview,Susan,asocial,cognitive_flexibility,5.0,1.0
Interview,Interviewer,asocial,cognitive_flexibility,5.0,1.0
Interview,Alex,asocial,coherence,5.0,1.0
Interview,Susan,asocial,coherence,5.0,1.0
Interview,Interviewer,asocial,coherence,5.0,1.0
Interview,Alex,asocial,engagement,5.0,1.0
Interview,Susan,asocial,engagement,5.0,1.0
Interview,Interviewer,asocial,engagement,5.0,1.0
Interview,Alex,asocial,complexity,4.5,1.0
Interview,Susan,asocial,complexity,4.0,1.0
Interview,Interviewer,asocial,complexity,1.0,1.0
Interview,Alex,asocial,character_development,4.2,1.0
Interview,Susan,asocial,character_development,4.2,1.0
Interview,Interviewer,asocial,character_development,4.0,1.0
Interview,Alex,asocial,action_effectiveness,4.5,1.0
Interview,Susan,asocial,action_effectiveness,4.5,1.0
Interview,Interviewer,asocial,action_effectiveness,4.5,1.0
Interview,Alex,anarrative,goal_directedness,5.0,1.0
Interview,Susan,anarrative,goal_directedness,5.0,1.0
Interview,Interviewer,anarrative,goal_directedness,5.0,1.0
Interview,Alex,anarrative,social_awareness,5.0,1.0
Interview,Susan,anarrative,social_awareness,5.0,1.0
Interview,Interviewer,anarrative,social_awareness,4.0,1.0
Interview,Alex,anarrative,cognitive_flexibility,4.5,1.0
Interview,Susan,anarrative,cognitive_flexibility,4.5,1.0
Interview,Interviewer,anarrative,cognitive_flexibility,5.0,1.0
Interview,Alex,anarrative,coherence,5.0,1.0
Interview,Susan,anarrative,coherence,5.0,1.0
Interview,Interviewer,anarrative,coherence,5.0,1.0
Interview,Alex,anarrative,engagement,5.0,1.0
Interview,Susan,anarrative,engagement,5.0,1.0
Interview,Interviewer,anarrative,engagement,4.0,0.9
Interview,Alex,anarrative,complexity,4.0,1.0
Interview,Susan,anarrative,complexity,4.5,1.0
Interview,Interviewer,anarrative,complexity,4.0,1.0
Interview,Alex,anarrative,character_development,4.5,1.0
Interview,Susan,anarrative,character_development,4.2,1.0
Interview,Interviewer,anarrative,character_development,4.2,1.0
Interview,Alex,anarrative,action_effectiveness,4.5,1.0
Interview,Susan,anarrative,action_effectiveness,4.5,1.0
Interview,Interviewer,anarrative,action_effectiveness,4.5,1.0
lost,Samantha,baseline,goal_directedness,5.0,1.0
lost,Joe,baseline,goal_directedness,5.0,1.0
lost,Samantha,baseline,social_awareness,4.5,1.0
lost,Joe,baseline,social_awareness,4.5,1.0
lost,Samantha,baseline,cognitive_flexibility,4.5,1.0
lost,Joe,baseline,cognitive_flexibility,4.5,1.0
lost,Samantha,baseline,coherence,5.0,1.0
lost,Joe,baseline,coherence,5.0,1.0
lost,Samantha,baseline,engagement,5.0,1.0
lost,Joe,baseline,engagement,5.0,1.0
lost,Samantha,baseline,complexity,4.0,1.0
lost,Joe,baseline,complexity,4.0,1.0
lost,Samantha,baseline,character_development,4.2,1.0
lost,Joe,baseline,character_development,4.0,1.0
lost,Samantha,baseline,action_effectiveness,4.5,1.0
lost,Joe,baseline,action_effectiveness,4.5,1.0
lost,Samantha,asignal,goal_directedness,5.0,1.0
lost,Joe,asignal,goal_directedness,5.0,1.0
lost,Samantha,asignal,social_awareness,4.5,1.0
lost,Joe,asignal,social_awareness,4.5,1.0
lost,Samantha,asignal,cognitive_flexibility,5.0,1.0
lost,Joe,asignal,cognitive_flexibility,4.5,1.0
lost,Samantha,asignal,coherence,5.0,1.0
lost,Joe,asignal,coherence,5.0,1.0
lost,Samantha,asignal,engagement,5.0,1.0
lost,Joe,asignal,engagement,5.0,1.0
lost,Samantha,asignal,complexity,4.0,1.0
lost,Joe,asignal,complexity,4.0,1.0
lost,Samantha,asignal,character_development,4.0,1.0
lost,Joe,asignal,character_development,4.2,1.0
lost,Samantha,asignal,action_effectiveness,4.5,1.0
lost,Joe,asignal,action_effectiveness,4.5,1.0
lost,Samantha,anarrative,goal_directedness,5.0,1.0
lost,Joe,anarrative,goal_directedness,5.0,1.0
lost,Samantha,anarrative,social_awareness,4.5,1.0
lost,Joe,anarrative,social_awareness,4.5,1.0
lost,Samantha,anarrative,cognitive_flexibility,4.5,1.0
lost,Joe,anarrative,cognitive_flexibility,4.5,1.0
lost,Samantha,anarrative,coherence,5.0,1.0
lost,Joe,anarrative,coherence,5.0,1.0
lost,Samantha,anarrative,engagement,5.0,1.0
lost,Joe,anarrative,engagement,5.0,1.0
lost,Samantha,anarrative,complexity,4.0,1.0
lost,Joe,anarrative,complexity,4.0,1.0
lost,Samantha,anarrative,character_development,4.0,1.0
lost,Joe,anarrative,character_development,3.8,1.0
lost,Samantha,anarrative,action_effectiveness,4.5,1.0
lost,Joe,anarrative,action_effectiveness,4.5,1.0
lost,Samantha,asocial,goal_directedness,5.0,1.0
lost,Joe,asocial,goal_directedness,5.0,1.0
lost,Samantha,asocial,social_awareness,4.5,1.0
lost,Joe,asocial,social_awareness,4.5,1.0
lost,Samantha,asocial,cognitive_flexibility,4.5,1.0
lost,Joe,asocial,cognitive_flexibility,4.5,1.0
lost,Samantha,asocial,coherence,5.0,1.0
lost,Joe,asocial,coherence,5.0,1.0
lost,Samantha,asocial,engagement,5.0,1.0
lost,Joe,asocial,engagement,5.0,1.0
lost,Samantha,asocial,complexity,4.0,1.0
lost,Joe,asocial,complexity,4.0,1.0
lost,Samantha,asocial,character_development,3.8,1.0
lost,Joe,asocial,character_development,4.0,1.0
lost,Samantha,asocial,action_effectiveness,4.5,1.0
lost,Joe,asocial,action_effectiveness,4.5,1.0
LaTerre,Francoise,anarrative,goal_directedness,5.0,1.0
LaTerre,Jean,anarrative,goal_directedness,5.0,1.0
LaTerre,Francoise,anarrative,social_awareness,5.0,1.0
LaTerre,Jean,anarrative,social_awareness,4.5,1.0
LaTerre,Francoise,anarrative,cognitive_flexibility,4.5,1.0
LaTerre,Jean,anarrative,cognitive_flexibility,4.0,1.0
LaTerre,Francoise,anarrative,coherence,5.0,1.0
LaTerre,Jean,anarrative,coherence,5.0,1.0
LaTerre,Francoise,anarrative,engagement,5.0,1.0
LaTerre,Jean,anarrative,engagement,5.0,1.0
LaTerre,Francoise,anarrative,complexity,4.0,1.0
LaTerre,Jean,anarrative,complexity,4.0,1.0
LaTerre,Francoise,anarrative,character_development,4.0,1.0
LaTerre,Jean,anarrative,character_development,4.0,1.0
LaTerre,Francoise,anarrative,action_effectiveness,4.0,1.0
LaTerre,Jean,anarrative,action_effectiveness,4.2,1.0
LaTerre,Francoise,baseline,goal_directedness,5.0,1.0
LaTerre,Jean,baseline,goal_directedness,5.0,1.0
LaTerre,Francoise,baseline,social_awareness,4.5,1.0
LaTerre,Jean,baseline,social_awareness,4.5,1.0
LaTerre,Francoise,baseline,cognitive_flexibility,4.0,1.0
LaTerre,Jean,baseline,cognitive_flexibility,4.0,1.0
LaTerre,Francoise,baseline,coherence,5.0,1.0
LaTerre,Jean,baseline,coherence,5.0,1.0
LaTerre,Francoise,baseline,engagement,4.0,1.0
LaTerre,Jean,baseline,engagement,5.0,1.0
LaTerre,Francoise,baseline,complexity,4.0,1.0
LaTerre,Jean,baseline,complexity,4.0,1.0
LaTerre,Francoise,baseline,character_development,4.0,1.0
LaTerre,Jean,baseline,character_development,4.0,1.0
LaTerre,Francoise,baseline,action_effectiveness,4.5,1.0
LaTerre,Jean,baseline,action_effectiveness,4.5,1.0
LaTerre,Francoise,asocial,goal_directedness,4.5,1.0
LaTerre,Jean,asocial,goal_directedness,5.0,1.0
LaTerre,Francoise,asocial,social_awareness,5.0,1.0
LaTerre,Jean,asocial,social_awareness,4.5,1.0
LaTerre,Francoise,asocial,cognitive_flexibility,4.5,1.0
LaTerre,Jean,asocial,cognitive_flexibility,4.5,1.0
LaTerre,Francoise,asocial,coherence,5.0,1.0
LaTerre,Jean,asocial,coherence,5.0,1.0
LaTerre,Francoise,asocial,engagement,4.0,1.0
LaTerre,Jean,asocial,engagement,5.0,1.0
LaTerre,Francoise,asocial,complexity,4.0,1.0
LaTerre,Jean,asocial,complexity,4.0,1.0
LaTerre,Francoise,asocial,character_development,4.0,1.0
LaTerre,Jean,asocial,character_development,4.0,1.0
LaTerre,Francoise,asocial,action_effectiveness,4.5,1.0
LaTerre,Jean,asocial,action_effectiveness,4.5,1.0
LaTerre,Francoise,asignal,goal_directedness,4.5,1.0
LaTerre,Jean,asignal,goal_directedness,5.0,1.0
LaTerre,Francoise,asignal,social_awareness,4.5,1.0
LaTerre,Jean,asignal,social_awareness,4.5,1.0
LaTerre,Francoise,asignal,cognitive_flexibility,4.5,1.0
LaTerre,Jean,asignal,cognitive_flexibility,4.0,1.0
LaTerre,Francoise,asignal,coherence,5.0,1.0
LaTerre,Jean,asignal,coherence,5.0,1.0
LaTerre,Francoise,asignal,engagement,5.0,1.0
LaTerre,Jean,asignal,engagement,5.0,1.0
LaTerre,Francoise,asignal,complexity,4.0,1.0
LaTerre,Jean,asignal,complexity,4.0,1.0
LaTerre,Francoise,asignal,character_development,4.0,1.0
LaTerre,Jean,asignal,character_development,4.0,1.0
LaTerre,Francoise,asignal,action_effectiveness,4.0,0.7
LaTerre,Jean,asignal,action_effectiveness,4.5,1.0
ABetterLife,Hu,anarrative,goal_directedness,5.0,1.0
ABetterLife,Xue,anarrative,goal_directedness,5.0,1.0
ABetterLife,Qiu,anarrative,goal_directedness,4.5,1.0
ABetterLife,Ding,anarrative,goal_directedness,4.5,1.0
ABetterLife,Hu,anarrative,social_awareness,4.5,1.0
ABetterLife,Xue,anarrative,social_awareness,4.0,1.0
ABetterLife,Qiu,anarrative,social_awareness,4.0,1.0
ABetterLife,Ding,anarrative,social_awareness,4.5,1.0
ABetterLife,Hu,anarrative,cognitive_flexibility,4.5,1.0
ABetterLife,Xue,anarrative,cognitive_flexibility,4.5,1.0
ABetterLife,Qiu,anarrative,cognitive_flexibility,4.5,1.0
ABetterLife,Ding,anarrative,cognitive_flexibility,4.5,1.0
ABetterLife,Hu,anarrative,coherence,5.0,1.0
ABetterLife,Xue,anarrative,coherence,5.0,1.0
ABetterLife,Qiu,anarrative,coherence,5.0,1.0
ABetterLife,Ding,anarrative,coherence,4.5,1.0
ABetterLife,Hu,anarrative,engagement,4.0,1.0
ABetterLife,Xue,anarrative,engagement,3.0,0.9
ABetterLife,Qiu,anarrative,engagement,4.0,1.0
ABetterLife,Ding,anarrative,engagement,4.0,1.0
ABetterLife,Hu,anarrative,complexity,4.5,1.0
ABetterLife,Xue,anarrative,complexity,3.5,0.7
ABetterLife,Qiu,anarrative,complexity,3.0,0.3
ABetterLife,Ding,anarrative,complexity,4.5,1.0
ABetterLife,Hu,anarrative,character_development,4.2,1.0
ABetterLife,Xue,anarrative,character_development,2.5,0.7
ABetterLife,Qiu,anarrative,character_development,3.5,0.7
ABetterLife,Ding,anarrative,character_development,4.2,1.0
ABetterLife,Hu,anarrative,action_effectiveness,4.5,1.0
ABetterLife,Xue,anarrative,action_effectiveness,4.2,1.0
ABetterLife,Qiu,anarrative,action_effectiveness,4.5,1.0
ABetterLife,Ding,anarrative,action_effectiveness,4.0,1.0
ABetterLife,Hu,baseline,goal_directedness,4.5,1.0
ABetterLife,Xue,baseline,goal_directedness,5.0,1.0
ABetterLife,Qiu,baseline,goal_directedness,4.5,1.0
ABetterLife,Ding,baseline,goal_directedness,4.0,1.0
ABetterLife,Hu,baseline,social_awareness,4.0,1.0
ABetterLife,Xue,baseline,social_awareness,3.5,1.0
ABetterLife,Qiu,baseline,social_awareness,4.0,1.0
ABetterLife,Ding,baseline,social_awareness,4.0,1.0
ABetterLife,Hu,baseline,cognitive_flexibility,4.0,1.0
ABetterLife,Xue,baseline,cognitive_flexibility,4.5,1.0
ABetterLife,Qiu,baseline,cognitive_flexibility,4.0,1.0
ABetterLife,Ding,baseline,cognitive_flexibility,4.0,1.0
ABetterLife,Hu,baseline,coherence,4.5,1.0
ABetterLife,Xue,baseline,coherence,5.0,1.0
ABetterLife,Qiu,baseline,coherence,5.0,1.0
ABetterLife,Ding,baseline,coherence,4.5,1.0
ABetterLife,Hu,baseline,engagement,2.0,0.9
ABetterLife,Xue,baseline,engagement,5.0,1.0
ABetterLife,Qiu,baseline,engagement,4.0,0.9
ABetterLife,Ding,baseline,engagement,2.0,0.9
ABetterLife,Hu,baseline,complexity,4.0,1.0
ABetterLife,Xue,baseline,complexity,4.5,1.0
ABetterLife,Qiu,baseline,complexity,3.5,0.7
ABetterLife,Ding,baseline,complexity,4.0,1.0
ABetterLife,Hu,baseline,character_development,3.5,0.7
ABetterLife,Xue,baseline,character_development,3.5,0.7
ABetterLife,Qiu,baseline,character_development,3.5,0.7
ABetterLife,Ding,baseline,character_development,3.5,1.0
ABetterLife,Hu,baseline,action_effectiveness,4.0,1.0
ABetterLife,Xue,baseline,action_effectiveness,4.2,1.0
ABetterLife,Qiu,baseline,action_effectiveness,4.0,0.7
ABetterLife,Ding,baseline,action_effectiveness,4.0,1.0
ABetterLife,Hu,asignal,goal_directedness,4.5,1.0
ABetterLife,Xue,asignal,goal_directedness,4.5,1.0
ABetterLife,Qiu,asignal,goal_directedness,4.5,1.0
ABetterLife,Ding,asignal,goal_directedness,4.5,1.0
ABetterLife,Hu,asignal,social_awareness,4.5,1.0
ABetterLife,Xue,asignal,social_awareness,4.0,1.0
ABetterLife,Qiu,asignal,social_awareness,4.0,1.0
ABetterLife,Ding,asignal,social_awareness,4.5,1.0
ABetterLife,Hu,asignal,cognitive_flexibility,4.5,1.0
ABetterLife,Xue,asignal,cognitive_flexibility,4.5,1.0
ABetterLife,Qiu,asignal,cognitive_flexibility,4.0,1.0
ABetterLife,Ding,asignal,cognitive_flexibility,4.5,1.0
ABetterLife,Hu,asignal,coherence,5.0,1.0
ABetterLife,Xue,asignal,coherence,4.5,1.0
ABetterLife,Qiu,asignal,coherence,4.5,1.0
ABetterLife,Ding,asignal,coherence,5.0,1.0
ABetterLife,Hu,asignal,engagement,4.0,0.9
ABetterLife,Xue,asignal,engagement,4.0,0.9
ABetterLife,Qiu,asignal,engagement,4.0,0.9
ABetterLife,Ding,asignal,engagement,4.0,0.9
ABetterLife,Hu,asignal,complexity,4.0,1.0
ABetterLife,Xue,asignal,complexity,4.0,0.7
ABetterLife,Qiu,asignal,complexity,4.0,0.7
ABetterLife,Ding,asignal,complexity,4.5,1.0
ABetterLife,Hu,asignal,character_development,4.2,1.0
ABetterLife,Xue,asignal,character_development,3.5,0.7
ABetterLife,Qiu,asignal,character_development,4.0,1.0
ABetterLife,Ding,asignal,character_development,4.0,1.0
ABetterLife,Hu,asignal,action_effectiveness,4.2,1.0
ABetterLife,Xue,asignal,action_effectiveness,4.0,1.0
ABetterLife,Qiu,asignal,action_effectiveness,4.0,0.7
ABetterLife,Ding,asignal,action_effectiveness,4.0,1.0
ABetterLife,Hu,asocial,goal_directedness,5.0,1.0
ABetterLife,Xue,asocial,goal_directedness,5.0,1.0
ABetterLife,Qiu,asocial,goal_directedness,4.5,1.0
ABetterLife,Ding,asocial,goal_directedness,4.5,1.0
ABetterLife,Hu,asocial,social_awareness,4.0,1.0
ABetterLife,Xue,asocial,social_awareness,4.0,1.0
ABetterLife,Qiu,asocial,social_awareness,4.0,1.0
ABetterLife,Ding,asocial,social_awareness,4.5,1.0
ABetterLife,Hu,asocial,cognitive_flexibility,4.5,1.0
ABetterLife,Xue,asocial,cognitive_flexibility,4.0,1.0
ABetterLife,Qiu,asocial,cognitive_flexibility,4.5,1.0
ABetterLife,Ding,asocial,cognitive_flexibility,4.5,1.0
ABetterLife,Hu,asocial,coherence,5.0,1.0
ABetterLife,Xue,asocial,coherence,5.0,1.0
ABetterLife,Qiu,asocial,coherence,5.0,1.0
ABetterLife,Ding,asocial,coherence,4.5,1.0
ABetterLife,Hu,asocial,engagement,4.0,1.0
ABetterLife,Xue,asocial,engagement,4.0,1.0
ABetterLife,Qiu,asocial,engagement,4.0,0.9
ABetterLife,Ding,asocial,engagement,3.0,0.9
ABetterLife,Hu,asocial,complexity,4.5,1.0
ABetterLife,Xue,asocial,complexity,4.0,1.0
ABetterLife,Qiu,asocial,complexity,4.5,1.0
ABetterLife,Ding,asocial,complexity,4.5,1.0
ABetterLife,Hu,asocial,character_development,4.0,1.0
ABetterLife,Xue,asocial,character_development,3.5,0.7
ABetterLife,Qiu,asocial,character_development,3.8,1.0
ABetterLife,Ding,asocial,character_development,4.0,1.0
ABetterLife,Hu,asocial,action_effectiveness,4.5,1.0
ABetterLife,Xue,asocial,action_effectiveness,3.5,0.7
ABetterLife,Qiu,asocial,action_effectiveness,4.0,1.0
ABetterLife,Ding,asocial,action_effectiveness,4.5,1.0
