scenario,character,condition,metric,value,validity
LaTerre,Jean,anarrative,cognitive_flexibility,4.0,1.0
LaTerre,Francoise,anarrative,coherence,5.0,1.0
LaTerre,Jean,anarrative,coherence,5.0,1.0
LaTerre,Francoise,anarrative,engagement,5.0,1.0
LaTerre,Jean,anarrative,engagement,5.0,1.0
LaTerre,Francoise,anarrative,complexity,4.0,1.0
LaTerre,Jean,anarrative,complexity,4.0,1.0
LaTerre,Francoise,anarrative,character_development,4.0,1.0
LaTerre,Jean,anarrative,character_development,4.0,1.0
LaTerre,Francoise,anarrative,action_effectiveness,4.5,1.0
LaTerre,Jean,anarrative,action_effectiveness,4.2,1.0
LaTerre,Francoise,baseline,goal_directedness,4.5,1.0
LaTerre,Jean,baseline,goal_directedness,5.0,1.0
LaTerre,Francoise,baseline,social_awareness,4.5,1.0
LaTerre,Jean,baseline,social_awareness,4.5,1.0
LaTerre,Francoise,baseline,cognitive_flexibility,4.0,1.0
LaTerre,Jean,baseline,cognitive_flexibility,4.0,1.0
LaTerre,Francoise,baseline,coherence,5.0,1.0
LaTerre,Jean,baseline,coherence,5.0,1.0
LaTerre,Francoise,baseline,engagement,4.0,1.0
LaTerre,Jean,baseline,engagement,5.0,1.0
LaTerre,Francoise,baseline,complexity,4.0,1.0
LaTerre,Jean,baseline,complexity,4.0,1.0
LaTerre,Francoise,baseline,character_development,4.0,1.0
LaTerre,Jean,baseline,character_development,4.0,1.0
LaTerre,Francoise,baseline,action_effectiveness,4.5,1.0
LaTerre,Jean,baseline,action_effectiveness,4.5,1.0
LaTerre,Francoise,asocial,goal_directedness,5.0,1.0
LaTerre,Jean,asocial,goal_directedness,5.0,1.0
LaTerre,Francoise,asocial,social_awareness,5.0,1.0
LaTerre,Jean,asocial,social_awareness,4.5,1.0
LaTerre,Francoise,asocial,cognitive_flexibility,4.5,1.0
LaTerre,Jean,asocial,cognitive_flexibility,4.5,1.0
LaTerre,Francoise,asocial,coherence,5.0,1.0
LaTerre,Jean,asocial,coherence,5.0,1.0
LaTerre,Francoise,asocial,engagement,4.0,1.0
LaTerre,Jean,asocial,engagement,5.0,1.0
LaTerre,Francoise,asocial,complexity,4.5,1.0
LaTerre,Jean,asocial,complexity,4.0,1.0
LaTerre,Francoise,asocial,character_development,4.0,1.0
LaTerre,Jean,asocial,character_development,4.2,1.0
LaTerre,Francoise,asocial,action_effectiveness,4.5,1.0
LaTerre,Jean,asocial,action_effectiveness,4.5,1.0
LaTerre,Francoise,asignal,goal_directedness,4.5,1.0
LaTerre,Jean,asignal,goal_directedness,5.0,1.0
LaTerre,Francoise,asignal,social_awareness,4.5,1.0
LaTerre,Jean,asignal,social_awareness,4.5,1.0
LaTerre,Francoise,asignal,cognitive_flexibility,4.5,1.0
LaTerre,Jean,asignal,cognitive_flexibility,4.0,1.0
LaTerre,Francoise,asignal,coherence,5.0,1.0
LaTerre,Jean,asignal,coherence,5.0,1.0
LaTerre,Francoise,asignal,engagement,5.0,1.0
LaTerre,Jean,asignal,engagement,5.0,1.0
LaTerre,Francoise,asignal,complexity,4.0,1.0
LaTerre,Jean,asignal,complexity,4.0,1.0
LaTerre,Francoise,asignal,character_development,4.0,1.0
LaTerre,Jean,asignal,character_development,4.0,1.0
LaTerre,Francoise,asignal,action_effectiveness,4.2,0.7
LaTerre,Jean,asignal,action_effectiveness,4.5,1.0
ABetterLife,Hu,anarrative,goal_directedness,5.0,1.0
ABetterLife,Xue,anarrative,goal_directedness,4.5,1.0
ABetterLife,Qiu,anarrative,goal_directedness,4.5,1.0
ABetterLife,Ding,anarrative,goal_directedness,4.5,1.0
ABetterLife,Hu,anarrative,social_awareness,4.5,1.0
ABetterLife,Xue,anarrative,social_awareness,4.0,1.0
ABetterLife,Qiu,anarrative,social_awareness,4.0,1.0
ABetterLife,Ding,anarrative,social_awareness,4.5,1.0
ABetterLife,Hu,anarrative,cognitive_flexibility,4.5,1.0
ABetterLife,Xue,anarrative,cognitive_flexibility,4.0,1.0
ABetterLife,Qiu,anarrative,cognitive_flexibility,4.0,1.0
ABetterLife,Ding,anarrative,cognitive_flexibility,4.5,1.0
ABetterLife,Hu,anarrative,coherence,4.7,1.0
ABetterLife,Xue,anarrative,coherence,5.0,1.0
ABetterLife,Qiu,anarrative,coherence,5.0,1.0
ABetterLife,Ding,anarrative,coherence,4.5,1.0
ABetterLife,Hu,anarrative,engagement,5.0,1.0
ABetterLife,Xue,anarrative,engagement,2.0,0.9
ABetterLife,Qiu,anarrative,engagement,4.0,1.0
ABetterLife,Ding,anarrative,engagement,4.0,0.9
ABetterLife,Hu,anarrative,complexity,4.5,1.0
ABetterLife,Xue,anarrative,complexity,3.5,0.7
ABetterLife,Qiu,anarrative,complexity,2.5,0.7
ABetterLife,Ding,anarrative,complexity,4.5,1.0
ABetterLife,Hu,anarrative,character_development,4.2,1.0
ABetterLife,Xue,anarrative,character_development,3.8,1.0
ABetterLife,Qiu,anarrative,character_development,3.5,1.0
ABetterLife,Ding,anarrative,character_development,4.2,1.0
ABetterLife,Hu,anarrative,action_effectiveness,4.5,1.0
ABetterLife,Xue,anarrative,action_effectiveness,3.5,0.7
ABetterLife,Qiu,anarrative,action_effectiveness,4.2,1.0
ABetterLife,Ding,anarrative,action_effectiveness,4.2,1.0
ABetterLife,Hu,baseline,goal_directedness,4.5,1.0
ABetterLife,Xue,baseline,goal_directedness,5.0,1.0
ABetterLife,Qiu,baseline,goal_directedness,4.5,1.0
ABetterLife,Ding,baseline,goal_directedness,4.5,1.0
ABetterLife,Hu,baseline,social_awareness,3.5,1.0
ABetterLife,Xue,baseline,social_awareness,4.0,1.0
ABetterLife,Qiu,baseline,social_awareness,4.0,1.0
ABetterLife,Ding,baseline,social_awareness,4.0,1.0
ABetterLife,Hu,baseline,cognitive_flexibility,4.0,1.0
ABetterLife,Xue,baseline,cognitive_flexibility,4.5,1.0
ABetterLife,Qiu,baseline,cognitive_flexibility,4.0,1.0
ABetterLife,Ding,baseline,cognitive_flexibility,4.0,1.0
ABetterLife,Hu,baseline,coherence,5.0,1.0
ABetterLife,Xue,baseline,coherence,5.0,1.0
ABetterLife,Qiu,baseline,coherence,4.5,1.0
ABetterLife,Ding,baseline,coherence,4.5,1.0
ABetterLife,Hu,baseline,engagement,3.0,0.9
ABetterLife,Xue,baseline,engagement,5.0,1.0
ABetterLife,Qiu,baseline,engagement,4.0,0.9
ABetterLife,Ding,baseline,engagement,2.0,0.9
ABetterLife,Hu,baseline,complexity,4.2,1.0
ABetterLife,Xue,baseline,complexity,4.5,1.0
ABetterLife,Qiu,baseline,complexity,4.0,0.7
ABetterLife,Ding,baseline,complexity,4.0,1.0
ABetterLife,Hu,baseline,character_development,3.5,0.7
ABetterLife,Xue,baseline,character_development,3.8,1.0
ABetterLife,Qiu,baseline,character_development,3.0,1.0
ABetterLife,Ding,baseline,character_development,4.0,1.0
ABetterLife,Hu,baseline,action_effectiveness,4.0,1.0
ABetterLife,Xue,baseline,action_effectiveness,4.2,1.0
ABetterLife,Qiu,baseline,action_effectiveness,4.2,1.0
ABetterLife,Ding,baseline,action_effectiveness,4.0,1.0
ABetterLife,Hu,asignal,goal_directedness,5.0,1.0
ABetterLife,Xue,asignal,goal_directedness,5.0,1.0
ABetterLife,Qiu,asignal,goal_directedness,4.5,1.0
ABetterLife,Ding,asignal,goal_directedness,4.5,1.0
ABetterLife,Hu,asignal,social_awareness,4.5,1.0
ABetterLife,Xue,asignal,social_awareness,4.0,1.0
ABetterLife,Qiu,asignal,social_awareness,4.0,1.0
ABetterLife,Ding,asignal,social_awareness,4.5,1.0
ABetterLife,Hu,asignal,cognitive_flexibility,4.0,1.0
ABetterLife,Xue,asignal,cognitive_flexibility,4.0,1.0
ABetterLife,Qiu,asignal,cognitive_flexibility,4.0,1.0
ABetterLife,Ding,asignal,cognitive_flexibility,4.5,1.0
ABetterLife,Hu,asignal,coherence,5.0,1.0
ABetterLife,Xue,asignal,coherence,5.0,1.0
ABetterLife,Qiu,asignal,coherence,5.0,1.0
ABetterLife,Ding,asignal,coherence,5.0,1.0
ABetterLife,Hu,asignal,engagement,4.0,0.9
ABetterLife,Xue,asignal,engagement,4.0,0.9
ABetterLife,Qiu,asignal,engagement,4.0,0.9
ABetterLife,Ding,asignal,engagement,4.0,0.9
ABetterLife,Hu,asignal,complexity,4.5,1.0
ABetterLife,Xue,asignal,complexity,4.0,1.0
ABetterLife,Qiu,asignal,complexity,4.0,0.7
ABetterLife,Ding,asignal,complexity,4.0,1.0
ABetterLife,Hu,asignal,character_development,4.0,1.0
ABetterLife,Xue,asignal,character_development,3.5,0.7
ABetterLife,Qiu,asignal,character_development,3.5,1.0
ABetterLife,Ding,asignal,character_development,4.0,1.0
ABetterLife,Hu,asignal,action_effectiveness,4.0,1.0
ABetterLife,Xue,asignal,action_effectiveness,4.0,0.7
ABetterLife,Qiu,asignal,action_effectiveness,3.5,0.7
ABetterLife,Ding,asignal,action_effectiveness,4.0,0.7
